set	assoc	sim_IPC	total_power_cycle_cc1	sim_cycle	sim_elapsed_time
128	1	1.2603	1203871660.5781 20.2065	59578495	66	
128	2	1.2659	1206004053.5732 20.3323	59314551	66	
128	4	1.2686	1206690041.1348 20.3876	59187331	66	
128	8	1.2686	1212915057.7284 20.4929	59187163	67	
128	16	1.2686	1225432905.7231 20.7044	59187134	68	
256	1	1.2651	1204891299.2705 20.2998	59354882	66	
256	2	1.2684	1211326509.0857 20.4624	59197589	66	
256	4	1.2686	1213963179.3265 20.5105	59187270	67	
256	8	1.2686	1221229563.8506 20.6334	59187140	67	
256	16	1.2686	1239678865.9412 20.9451	59187134	67	
512	1	1.2669	1210406030.1396 20.4228	59267513	66	
512	2	1.2686	1224408541.8773 20.6869	59187738	66	
512	4	1.2686	1228451988.7801 20.7554	59187143	67	
512	8	1.2686	1229247478.6734 20.7688	59187140	66	
512	16	1.2686	1254424316.8278 21.1942	59187134	67	
